,src,dst
0,0,1
1,0,4
2,0,5
3,0,8
4,0,11
5,0,20
6,0,48
7,0,130
8,0,160
9,0,430
15,1,1
16,1,44
17,1,50
18,1,56
19,1,98
20,1,99
21,1,106
22,1,146
23,1,147
24,1,149
25,1,158
26,1,171
27,1,175
28,1,184
29,1,206
30,1,259
31,1,333
32,1,336
33,1,392
34,1,397
35,1,406
36,1,422
37,1,446
38,1,457
264,2,3
265,3,3
266,3,10
267,3,175
268,3,313
269,3,314
270,3,347
271,3,388
272,3,389
273,3,457
550,5,4
551,5,5
552,5,10
553,5,26
554,5,47
555,5,59
556,5,143
557,5,171
558,5,292
559,5,355
560,5,430
598,6,7
599,7,7
600,8,385
617,9,10
619,10,5
620,10,10
621,10,30
622,10,34
623,10,35
624,10,37
625,10,38
626,10,56
627,10,65
628,10,73
629,10,77
630,10,87
631,10,94
632,10,97
633,10,106
634,10,107
635,10,124
636,10,140
637,10,141
638,10,146
639,10,147
640,10,152
641,10,161
642,10,175
643,10,182
644,10,192
645,10,195
646,10,198
647,10,202
648,10,206
649,10,211
650,10,213
651,10,222
652,10,233
653,10,247
654,10,251
655,10,255
656,10,264
657,10,275
658,10,292
659,10,294
660,10,309
661,10,310
662,10,313
663,10,328
664,10,333
665,10,336
666,10,366
667,10,389
668,10,393
669,10,417
670,10,422
671,10,444
672,10,446
673,10,457
674,10,467
675,10,485
676,10,493
1380,11,11
1381,11,20
1382,11,68
1383,11,86
1384,11,111
1385,11,167
1386,11,192
1387,11,207
1388,11,209
1389,11,240
1390,11,259
1391,11,264
1392,11,292
1393,11,301
1394,11,314
1395,11,333
1396,11,336
1397,11,366
1398,11,479
1471,12,13
1472,14,15
1473,14,20
1474,14,63
1475,14,160
1476,14,254
1478,15,10
1479,15,15
1480,15,292
1481,15,397
1485,16,17
1486,16,175
1575,18,19
1576,19,8
1577,19,19
1578,19,54
1579,19,135
1580,19,222
1581,19,313
1582,19,385
1583,19,389
1670,20,10
1671,20,11
1672,20,20
1673,20,126
1674,20,178
1675,20,182
1676,20,259
1677,20,314
1678,20,315
1679,20,346
1680,20,406
1681,20,435
1682,20,439
1683,20,440
1684,20,447
1685,20,452
1686,20,457
1687,20,497
1804,21,22
1805,22,22
1806,22,127
1807,22,182
1808,22,207
1809,22,227
1810,22,255
1811,22,287
1812,22,314
1813,22,358
1814,22,433
1815,22,446
2207,23,24
2208,23,25
2209,23,26
2210,23,28
2211,23,33
2212,23,40
2213,23,47
2214,23,59
2215,23,60
2216,23,117
2217,23,143
2251,24,24
2252,24,26
2253,24,59
2254,24,104
2255,24,372
2256,24,442
2268,25,25
2272,26,26
2273,26,59
2278,27,25
2279,27,26
2280,27,28
2281,27,47
2282,27,59
2283,27,60
2284,27,143
2302,28,28
2303,28,143
2308,29,30
2309,30,10
2310,30,30
2311,30,47
2312,30,104
2313,30,134
2314,30,135
2315,30,137
2316,30,175
2317,30,200
2318,30,211
2319,30,225
2320,30,248
2321,30,327
2322,30,328
2323,30,333
2324,30,364
2325,30,440
2326,30,446
2505,31,32
2506,32,87
2507,32,356
2508,32,392
2525,33,206
2528,34,10
2529,34,34
2530,34,35
2531,34,83
2532,34,313
2533,34,455
2551,35,10
2552,35,34
2553,35,35
2554,35,83
2555,35,120
2556,35,175
2557,35,222
2558,35,240
2559,35,278
2560,35,283
2561,35,304
2562,35,313
2563,35,314
2564,35,389
2565,35,392
2566,35,439
2567,35,440
2568,35,455
2833,36,37
2834,37,10
2835,37,36
2836,37,37
2837,37,106
2838,37,301
2839,37,425
2964,39,10
2965,40,134
2966,40,289
2967,40,442
2977,41,41
2978,41,42
2979,41,68
2980,41,139
2981,41,233
2982,41,255
2983,41,261
2984,41,289
2985,41,290
2986,41,298
2987,41,314
2988,41,373
2989,41,417
2990,41,431
3311,42,41
3312,42,42
3313,42,233
3319,43,44
3320,44,44
3321,45,46
3322,45,58
3323,46,45
3324,46,46
3325,46,58
3326,46,301
3327,46,444
3328,46,459
3423,47,5
3424,47,30
3425,47,47
3426,47,94
3427,47,111
3442,48,48
3447,49,50
3448,49,240
3450,50,1
3451,50,49
3452,50,50
3453,50,56
3454,50,79
3455,50,99
3456,50,146
3457,50,147
3458,50,149
3459,50,158
3460,50,175
3461,50,192
3462,50,240
3463,50,325
3464,50,333
3465,50,336
3466,50,406
3682,51,52
3683,53,54
3684,53,87
3685,53,207
3686,53,255
3687,54,54
3688,54,135
3689,54,222
3690,54,278
3691,54,283
3692,54,313
3693,54,385
3694,54,401
3695,54,455
3827,55,55
3828,55,56
3829,55,147
3830,55,158
3831,55,192
3832,55,422
3880,56,1
3881,56,10
3882,56,55
3883,56,56
3884,56,99
3885,56,146
3886,56,147
3887,56,158
3888,56,175
3889,56,192
3890,56,256
3891,56,314
3892,56,333
3893,56,336
3894,56,406
3895,56,421
3896,56,422
3897,56,425
3898,56,446
4056,57,58
4057,58,45
4058,58,46
4059,58,58
4060,58,111
4061,58,292
4062,58,402
4063,58,441
4064,58,442
4209,59,10
4210,59,59
4211,59,446
4214,60,26
4215,60,59
4216,60,117
4221,61,58
4222,62,10
4223,62,206
4224,62,306
4225,62,307
4226,63,63
4227,63,146
4228,63,192
4229,63,202
4230,63,203
4231,63,251
4232,63,252
4233,63,275
4234,63,389
4235,63,446
4236,63,471
4237,63,493
4320,64,65
4321,64,66
4323,65,65
4324,65,66
4325,65,79
4326,65,147
4327,65,171
4328,65,184
4329,65,186
4330,65,203
4331,65,207
4332,65,240
4333,65,252
4334,65,256
4335,65,314
4336,65,438
4337,65,466
4338,65,467
4339,65,495
4428,66,65
4429,66,66
4430,66,79
4431,66,126
4432,66,186
4433,66,203
4434,66,314
4435,66,466
4436,66,467
4437,66,495
4529,67,68
4530,68,41
4531,68,67
4532,68,68
4533,68,126
4534,68,175
4535,68,178
4536,68,186
4537,68,192
4538,68,240
4539,68,255
4540,68,261
4541,68,301
4542,68,314
4543,68,326
4544,68,356
4545,68,387
4546,68,393
4547,68,397
4548,68,431
4549,68,433
4550,68,440
4551,68,467
4776,69,10
4777,70,71
4778,70,72
4779,70,280
4780,70,364
4781,70,485
4792,71,372
4793,71,431
4847,72,72
4848,72,285
4849,72,390
4856,74,75
4857,76,20
4858,76,77
4859,76,85
4860,76,86
4861,76,119
4862,76,120
4864,77,10
4919,78,79
4920,79,50
4921,79,79
4922,79,99
4923,79,146
4924,79,147
4925,79,175
4926,79,192
4927,79,333
4928,79,336
4929,79,421
4930,79,422
4931,79,425
5070,80,81
5071,81,10
5072,81,80
5073,81,81
5074,81,215
5225,82,83
5226,83,34
5227,83,35
5228,83,83
5229,83,147
5230,83,192
5231,83,217
5232,83,222
5233,83,228
5234,83,283
5235,83,313
5236,83,314
5237,83,356
5238,83,385
5239,83,389
5240,83,397
5241,83,446
5242,83,455
5243,83,457
5244,83,477
5245,83,497
6156,84,44
6157,86,11
6158,86,86
6159,86,167
6160,86,255
6161,86,256
6162,86,299
6163,86,314
6279,87,10
6280,87,111
6298,88,89
6299,90,91
6300,92,93
6301,92,94
6302,94,25
6303,94,26
6304,94,47
6305,94,59
6306,94,93
6307,94,94
6308,94,116
6309,94,147
6310,94,250
6311,94,430
6338,95,58
6339,96,7
6340,96,97
6341,97,10
6342,97,96
6343,97,97
6344,97,147
6345,97,175
6346,97,186
6347,97,192
6348,97,217
6349,97,240
6350,97,327
6351,97,328
6352,97,397
6353,97,440
6354,97,452
6355,97,467
6356,97,485
6519,98,1
6520,98,99
6523,99,1
6524,99,50
6525,99,56
6526,99,79
6527,99,98
6528,99,146
6529,99,147
6530,99,149
6531,99,158
6532,99,192
6533,99,285
6534,99,333
6535,99,336
6536,99,406
6537,99,446
6626,100,72
6627,101,102
6630,102,102
6678,103,104
6679,104,24
6680,104,30
6681,104,87
6682,104,103
6683,104,104
6684,104,107
6685,104,108
6686,104,111
6687,104,116
6688,104,134
6689,104,135
6690,104,136
6691,104,137
6692,104,138
6693,104,200
6694,104,215
6695,104,217
6696,104,225
6697,104,227
6698,104,240
6699,104,248
6700,104,254
6701,104,264
6702,104,289
6703,104,290
6704,104,298
6705,104,304
6706,104,312
6707,104,323
6708,104,327
6709,104,328
6710,104,332
6711,104,364
6712,104,372
6713,104,373
6714,104,420
7336,105,106
7337,106,1
7338,106,37
7339,106,106
7340,106,146
7341,106,147
7342,106,149
7343,106,158
7344,106,192
7345,106,207
7346,106,287
7347,106,301
7348,106,333
7349,106,336
7350,106,337
7351,106,388
7352,106,406
7353,106,446
7507,107,10
7508,107,104
7509,107,107
7510,107,108
7511,107,111
7512,107,112
7513,107,175
7514,107,182
7515,107,292
7516,107,338
7517,107,364
7518,107,441
7519,107,442
7520,107,462
7730,108,104
7731,108,107
7732,108,111
7733,108,248
7739,109,109
7740,109,110
7741,109,257
7742,109,366
7975,111,111
7976,113,26
7977,113,114
7978,113,115
7979,113,116
7980,113,117
7981,113,118
7982,113,430
7990,114,26
7991,114,59
7993,115,115
7994,115,118
7995,116,26
7996,116,59
7997,116,114
7998,116,116
7999,116,117
8000,116,135
8001,116,138
8002,116,430
8016,118,4
8017,118,5
8018,118,94
8019,118,115
8020,118,116
8021,118,118
8022,118,330
8023,118,430
8060,120,34
8061,120,35
8062,120,85
8063,120,119
8064,120,120
8065,120,217
8066,120,240
8067,120,261
8068,120,332
8069,120,372
8456,121,122
8457,123,102
8460,124,10
8462,125,126
8463,126,20
8464,126,66
8465,126,68
8466,126,125
8467,126,126
8468,126,158
8469,126,207
8470,126,259
8471,126,301
8472,126,336
8473,126,366
8474,126,397
8475,126,441
8476,126,452
8477,126,457
8604,127,22
8605,128,1
8606,129,130
8607,130,48
8608,130,87
8609,130,130
8610,130,135
8611,130,431
8622,131,30
8623,131,328
8626,132,4
8627,132,5
8628,133,104
8629,133,134
8630,133,135
8631,133,136
8632,133,137
8633,133,138
8636,134,30
8637,134,40
8638,134,104
8639,134,134
8640,134,135
8641,134,136
8642,134,137
8643,134,138
8644,134,175
8645,134,200
8646,134,225
8647,134,233
8648,134,248
8649,134,254
8650,134,298
8651,134,327
8652,134,328
8653,134,332
8654,134,364
8655,134,372
8656,134,373
8657,134,431
8658,134,446
8950,135,19
8951,135,30
8952,135,54
8953,135,104
8954,135,116
8955,135,130
8956,135,134
8957,135,135
8958,135,136
8959,135,137
8960,135,138
8961,135,144
8962,135,200
8963,135,225
8964,135,248
8965,135,298
8966,135,304
8967,135,327
8968,135,328
8969,135,364
8970,135,372
8971,135,373
8972,135,431
8973,135,455
9169,136,104
9170,136,134
9171,136,135
9172,136,136
9173,136,137
9174,136,138
9175,136,442
9176,136,446
9260,137,30
9261,137,104
9262,137,133
9263,137,134
9264,137,135
9265,137,136
9266,137,137
9267,137,138
9268,137,200
9269,137,225
9270,137,294
9271,137,431
9272,137,446
9504,138,26
9505,138,30
9506,138,59
9507,138,81
9508,138,104
9509,138,116
9510,138,134
9511,138,135
9512,138,136
9513,138,137
9514,138,138
9515,138,200
9516,138,220
9517,138,225
9518,138,248
9519,138,304
9520,138,338
9521,138,364
9689,139,41
9690,139,140
9695,140,10
9696,140,140
9697,140,292
9698,140,314
9711,141,10
9712,142,143
9713,143,5
9714,143,143
9715,143,165
9716,143,430
9743,144,135
9744,145,146
9745,146,1
9746,146,10
9747,146,44
